Number of Rounds,Number of Epochs,Scale Factor,Round,Global Accuracy
70,3,1,1,0.108
70,3,1,2,0.131
70,3,1,3,0.305
70,3,1,4,0.356
70,3,1,5,0.386
70,3,1,6,0.426
70,3,1,7,0.424
70,3,1,8,0.449
70,3,1,9,0.448
70,3,1,10,0.448
70,3,1,11,0.463
70,3,1,12,0.473
70,3,1,13,0.461
70,3,1,14,0.45
70,3,1,15,0.464
70,3,1,16,0.46
70,3,1,17,0.47
70,3,1,18,0.461
70,3,1,19,0.473
70,3,1,20,0.482
70,3,1,21,0.486
70,3,1,22,0.473
70,3,1,23,0.488
70,3,1,24,0.488
70,3,1,25,0.489
70,3,1,26,0.496
70,3,1,27,0.497
70,3,1,28,0.499
70,3,1,29,0.493
70,3,1,30,0.475
70,3,1,31,0.49
70,3,1,32,0.492
70,3,1,33,0.507
70,3,1,34,0.488
70,3,1,35,0.504
70,3,1,36,0.478
70,3,1,37,0.491
70,3,1,38,0.458
70,3,1,39,0.476
70,3,1,40,0.455
70,3,1,41,0.508
70,3,1,42,0.497
70,3,1,43,0.481
70,3,1,44,0.505
70,3,1,45,0.463
70,3,1,46,0.506
70,3,1,47,0.489
70,3,1,48,0.498
70,3,1,49,0.493
70,3,1,50,0.491
70,3,1,51,0.479
70,3,1,52,0.49
70,3,1,53,0.491
70,3,1,54,0.495
70,3,1,55,0.473
70,3,1,56,0.487
70,3,1,57,0.481
70,3,1,58,0.483
70,3,1,59,0.49
70,3,1,60,0.452
70,3,1,61,0.454
70,3,1,62,0.458
70,3,1,63,0.488
70,3,1,64,0.453
70,3,1,65,0.496
70,3,1,66,0.467
70,3,1,67,0.473
70,3,1,68,0.492
70,3,1,69,0.502
70,3,1,70,0.482
70,3,2,1,0.109
70,3,2,2,0.109
70,3,2,3,0.284
70,3,2,4,0.323
70,3,2,5,0.37
70,3,2,6,0.39
70,3,2,7,0.417
70,3,2,8,0.391
70,3,2,9,0.399
70,3,2,10,0.419
70,3,2,11,0.407
70,3,2,12,0.407
70,3,2,13,0.392
70,3,2,14,0.417
70,3,2,15,0.415
70,3,2,16,0.406
70,3,2,17,0.398
70,3,2,18,0.375
70,3,2,19,0.358
70,3,2,20,0.381
70,3,2,21,0.352
70,3,2,22,0.342
70,3,2,23,0.386
70,3,2,24,0.349
70,3,2,25,0.349
70,3,2,26,0.35
70,3,2,27,0.344
70,3,2,28,0.332
70,3,2,29,0.319
70,3,2,30,0.309
70,3,2,31,0.327
70,3,2,32,0.304
70,3,2,33,0.235
70,3,2,34,0.238
70,3,2,35,0.29
70,3,2,36,0.226
70,3,2,37,0.208
70,3,2,38,0.206
70,3,2,39,0.109
70,3,2,40,0.117
70,3,2,41,0.108
70,3,2,42,0.101
70,3,2,43,0.101
70,3,2,44,0.101
70,3,2,45,0.101
70,3,2,46,0.101
70,3,2,47,0.11
70,3,2,48,0.101
70,3,2,49,0.101
70,3,2,50,0.115
70,3,2,51,0.101
70,3,2,52,0.11
70,3,2,53,0.101
70,3,2,54,0.101
70,3,2,55,0.094
70,3,2,56,0.101
70,3,2,57,0.11
70,3,2,58,0.11
70,3,2,59,0.101
70,3,2,60,0.11
70,3,2,61,0.11
70,3,2,62,0.101
70,3,2,63,0.11
70,3,2,64,0.101
70,3,2,65,0.101
70,3,2,66,0.088
70,3,2,67,0.101
70,3,2,68,0.088
70,3,2,69,0.101
70,3,2,70,0.101
70,3,3,1,0.109
70,3,3,2,0.186
70,3,3,3,0.286
70,3,3,4,0.343
70,3,3,5,0.384
70,3,3,6,0.378
70,3,3,7,0.381
70,3,3,8,0.4
70,3,3,9,0.399
70,3,3,10,0.374
70,3,3,11,0.363
70,3,3,12,0.366
70,3,3,13,0.37
70,3,3,14,0.359
70,3,3,15,0.348
70,3,3,16,0.315
70,3,3,17,0.294
70,3,3,18,0.27
70,3,3,19,0.265
70,3,3,20,0.209
70,3,3,21,0.198
70,3,3,22,0.182
70,3,3,23,0.088
70,3,3,24,0.11
70,3,3,25,0.111
70,3,3,26,0.102
70,3,3,27,0.11
70,3,3,28,0.109
70,3,3,29,0.1
70,3,3,30,0.109
70,3,3,31,0.109
70,3,3,32,0.1
70,3,3,33,0.1
70,3,3,34,0.1
70,3,3,35,0.1
70,3,3,36,0.1
70,3,3,37,0.1
70,3,3,38,0.1
70,3,3,39,0.109
70,3,3,40,0.1
70,3,3,41,0.1
70,3,3,42,0.109
70,3,3,43,0.109
70,3,3,44,0.1
70,3,3,45,0.1
70,3,3,46,0.109
70,3,3,47,0.1
70,3,3,48,0.109
70,3,3,49,0.109
70,3,3,50,0.109
70,3,3,51,0.1
70,3,3,52,0.109
70,3,3,53,0.109
70,3,3,54,0.109
70,3,3,55,0.109
70,3,3,56,0.1
70,3,3,57,0.1
70,3,3,58,0.1
70,3,3,59,0.109
70,3,3,60,0.109
70,3,3,61,0.109
70,3,3,62,0.103
70,3,3,63,0.103
70,3,3,64,0.108
70,3,3,65,0.108
70,3,3,66,0.109
70,3,3,67,0.1
70,3,3,68,0.109
70,3,3,69,0.1
70,3,3,70,0.109
70,3,4,1,0.113
70,3,4,2,0.231
70,3,4,3,0.333
70,3,4,4,0.357
70,3,4,5,0.383
70,3,4,6,0.387
70,3,4,7,0.355
70,3,4,8,0.356
70,3,4,9,0.338
70,3,4,10,0.282
70,3,4,11,0.231
70,3,4,12,0.219
70,3,4,13,0.147
70,3,4,14,0.129
70,3,4,15,0.138
70,3,4,16,0.138
70,3,4,17,0.137
70,3,4,18,0.139
70,3,4,19,0.135
70,3,4,20,0.129
70,3,4,21,0.134
70,3,4,22,0.128
70,3,4,23,0.137
70,3,4,24,0.135
70,3,4,25,0.127
70,3,4,26,0.135
70,3,4,27,0.135
70,3,4,28,0.125
70,3,4,29,0.125
70,3,4,30,0.125
70,3,4,31,0.131
70,3,4,32,0.125
70,3,4,33,0.125
70,3,4,34,0.124
70,3,4,35,0.127
70,3,4,36,0.125
70,3,4,37,0.131
70,3,4,38,0.126
70,3,4,39,0.129
70,3,4,40,0.132
70,3,4,41,0.116
70,3,4,42,0.126
70,3,4,43,0.132
70,3,4,44,0.124
70,3,4,45,0.129
70,3,4,46,0.129
70,3,4,47,0.132
70,3,4,48,0.13
70,3,4,49,0.126
70,3,4,50,0.124
70,3,4,51,0.126
70,3,4,52,0.126
70,3,4,53,0.132
70,3,4,54,0.132
70,3,4,55,0.126
70,3,4,56,0.126
70,3,4,57,0.126
70,3,4,58,0.114
70,3,4,59,0.123
70,3,4,60,0.126
70,3,4,61,0.123
70,3,4,62,0.132
70,3,4,63,0.132
70,3,4,64,0.126
70,3,4,65,0.123
70,3,4,66,0.123
70,3,4,67,0.126
70,3,4,68,0.126
70,3,4,69,0.126
70,3,4,70,0.123
70,3,5,1,0.108
70,3,5,2,0.221
70,3,5,3,0.325
70,3,5,4,0.323
70,3,5,5,0.337
70,3,5,6,0.321
70,3,5,7,0.314
70,3,5,8,0.289
70,3,5,9,0.238
70,3,5,10,0.186
70,3,5,11,0.193
70,3,5,12,0.089
70,3,5,13,0.11
70,3,5,14,0.11
70,3,5,15,0.104
70,3,5,16,0.111
70,3,5,17,0.112
70,3,5,18,0.103
70,3,5,19,0.103
70,3,5,20,0.111
70,3,5,21,0.112
70,3,5,22,0.102
70,3,5,23,0.104
70,3,5,24,0.104
70,3,5,25,0.104
70,3,5,26,0.111
70,3,5,27,0.102
70,3,5,28,0.102
70,3,5,29,0.111
70,3,5,30,0.103
70,3,5,31,0.102
70,3,5,32,0.103
70,3,5,33,0.11
70,3,5,34,0.11
70,3,5,35,0.102
70,3,5,36,0.101
70,3,5,37,0.111
70,3,5,38,0.101
70,3,5,39,0.111
70,3,5,40,0.089
70,3,5,41,0.101
70,3,5,42,0.111
70,3,5,43,0.101
70,3,5,44,0.11
70,3,5,45,0.111
70,3,5,46,0.111
70,3,5,47,0.111
70,3,5,48,0.11
70,3,5,49,0.11
70,3,5,50,0.11
70,3,5,51,0.11
70,3,5,52,0.103
70,3,5,53,0.103
70,3,5,54,0.103
70,3,5,55,0.103
70,3,5,56,0.103
70,3,5,57,0.103
70,3,5,58,0.121
70,3,5,59,0.121
70,3,5,60,0.121
70,3,5,61,0.121
70,3,5,62,0.121
70,3,5,63,0.121
70,3,5,64,0.121
70,3,5,65,0.121
70,3,5,66,0.121
70,3,5,67,0.121
70,3,5,68,0.121
70,3,5,69,0.121
70,3,5,70,0.121
