Epoch,Accuracy
1,0.333
2,0.336
3,0.3221
4,0.3545
5,0.3729
6,0.3647
7,0.3781
8,0.3675
9,0.371
10,0.358
11,0.3863
12,0.3626
13,0.3868
14,0.3783
15,0.3994
16,0.3773
17,0.3682
18,0.3902
19,0.4098
20,0.4078
21,0.3805
22,0.4058
23,0.4041
24,0.3983
25,0.4128
26,0.4137
27,0.4093
28,0.416
29,0.4311
30,0.3925
31,0.3967
32,0.4193
33,0.4262
34,0.4037
35,0.4153
36,0.4222
37,0.4091
38,0.4337
39,0.412
40,0.4109
41,0.3229
42,0.4184
43,0.4095
44,0.4222
45,0.4182
46,0.418
47,0.4325
48,0.3969
49,0.4214
50,0.3698
